Date time;Volume [mV];Light_Level [Ohms];Temperature-DHT [Celsius];Pressure [Hectopascal];Temperature-BMP [Celsius];Relative_Humidity [%];Air_Quality [Ohms];Carbon_Monoxide [Ohms];Nitrogen_Dioxide [Ohms]
27/11/2016 17:22;1.330.645.161;5.064.140.045;24.05;1.024.434.757;24.13;377.800.005;4.077.651.523;2.838.081.869;1.484.959.631
27/11/2016 17:27;9.693.548.387;5.075.234.701;245.249.999;1.024.494.539;24.52;3.687.999.973;4.066.105.341;2.865.622.566;1.535.988.699
27/11/2016 17:32;9.790.322.581;5.074.103.939;2.504.500.017;1.024.583.963;24.895;3.570.500.011;4.066.663.465;2.939.857.963;1.577.213.696
27/11/2016 17:37;1.056.451.613;5.086.325.929;2.533.499.947;1.024.633.698;25.08;3.480.999.966;405.747.269;2.985.878.165;1.615.072.702
27/11/2016 17:42;1.308.064.516;5.086.339.059;267.499.999;1.024.743.719;25.25;3.443.500.042;4.054.607.795;2.996.009.932;1.650.656.816
27/11/2016 17:47;1.327.419.355;4.870.789.895;2.675.999.994;1.024.816.061;25.325;3.434.000.015;4.035.353.784;3.013.294.598;1.686.511.873
27/11/2016 17:52;9.774.193.548;5105000;2.575.499.983;1.024.902.972;25.45;3.381.500.034;3.959.198.782;2.881.214.705;1.694.236.217
27/11/2016 17:57;9.532.258.065;7918250;2.616.500.025;1.024.965.267;25.625;3.299.000.034;3.926.550.288;2.922.648.016;1.708.510.391
27/11/2016 18:02;9.564.516.129;10220000;2.631.499.929;1.024.997.922;25.725;3.246.500.015;3.920.478.346;2.911.739.092;1.724.013.454
27/11/2016 18:07;9.129.032.258;10220000;2.631.499.929;1.025.017.012;25.81;3.226.000.023;3.924.918.073;2.900.149.343;1.737.499.968
27/11/2016 18:12;9.403.225.806;10220000;2.640.999.966;1.025.097.895;25.85;3.205.999.975;3.854.191.845;2.832.791.778;174.594.504
27/11/2016 18:17;9.887.096.774;10220000;2.648.499.994;1.025.169.233;25.895;317.050.004;3.917.721.463;2.879.462.142;1.754.447.439
27/11/2016 18:22;9.725.806.452;10220000;2.657.000.017;1.025.254.637;25.785;314.500.001;3.866.748.325;2.862.146.993;1.763.751.034
27/11/2016 18:27;9.177.419.355;7918250;2.679.999.924;1.025.320.448;25.665;3.076.000.023;3.815.295.135;2.853.183.345;1.768.236.651
27/11/2016 18:32;9.435.483.871;7406750;2.686.499.949;1.025.430.469;25.585;3.051.000.004;3.811.536.945;2.847.129.395;1.774.243.155
